id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_contenttype,Can add content type
14,4,change_contenttype,Can change content type
15,4,delete_contenttype,Can delete content type
16,4,view_contenttype,Can view content type
17,5,add_session,Can add session
18,5,change_session,Can change session
19,5,delete_session,Can delete session
20,5,view_session,Can view session
21,6,add_user,Can add مستخدم
22,6,change_user,Can change مستخدم
23,6,delete_user,Can delete مستخدم
24,6,view_user,Can view مستخدم
25,7,add_userprofile,Can add user profile
26,7,change_userprofile,Can change user profile
27,7,delete_userprofile,Can delete user profile
28,7,view_userprofile,Can view user profile
29,8,add_payment,Can add دفعة
30,8,change_payment,Can change دفعة
31,8,delete_payment,Can delete دفعة
32,8,view_payment,Can view دفعة
33,9,add_purchaseorder,Can add أمر شراء
34,9,change_purchaseorder,Can change أمر شراء
35,9,delete_purchaseorder,Can delete أمر شراء
36,9,view_purchaseorder,Can view أمر شراء
37,10,add_purchaseorderdelivery,Can add تسليم أمر شراء
38,10,change_purchaseorderdelivery,Can change تسليم أمر شراء
39,10,delete_purchaseorderdelivery,Can delete تسليم أمر شراء
40,10,view_purchaseorderdelivery,Can view تسليم أمر شراء
41,11,add_purchaseorderdeliveryitem,Can add عنصر تسليم أمر شراء
42,11,change_purchaseorderdeliveryitem,Can change عنصر تسليم أمر شراء
43,11,delete_purchaseorderdeliveryitem,Can delete عنصر تسليم أمر شراء
44,11,view_purchaseorderdeliveryitem,Can view عنصر تسليم أمر شراء
45,12,add_purchaseorderitem,Can add عنصر أمر شراء
46,12,change_purchaseorderitem,Can change عنصر أمر شراء
47,12,delete_purchaseorderitem,Can delete عنصر أمر شراء
48,12,view_purchaseorderitem,Can view عنصر أمر شراء
49,13,add_supplier,Can add مورد
50,13,change_supplier,Can change مورد
51,13,delete_supplier,Can delete مورد
52,13,view_supplier,Can view مورد
53,14,add_suppliercontact,Can add جهة اتصال المورد
54,14,change_suppliercontact,Can change جهة اتصال المورد
55,14,delete_suppliercontact,Can delete جهة اتصال المورد
56,14,view_suppliercontact,Can view جهة اتصال المورد
57,15,add_supplierdocument,Can add مستند مورد
58,15,change_supplierdocument,Can change مستند مورد
59,15,delete_supplierdocument,Can delete مستند مورد
60,15,view_supplierdocument,Can view مستند مورد
61,16,add_supplierperformancemetric,Can add مقياس أداء المورد
62,16,change_supplierperformancemetric,Can change مقياس أداء المورد
63,16,delete_supplierperformancemetric,Can delete مقياس أداء المورد
64,16,view_supplierperformancemetric,Can view مقياس أداء المورد
65,17,add_supplierrating,Can add تقييم مورد
66,17,change_supplierrating,Can change تقييم مورد
67,17,delete_supplierrating,Can delete تقييم مورد
68,17,view_supplierrating,Can view تقييم مورد
69,18,add_category,Can add تصنيف
70,18,change_category,Can change تصنيف
71,18,delete_category,Can delete تصنيف
72,18,view_category,Can view تصنيف
73,19,add_product,Can add منتج
74,19,change_product,Can change منتج
75,19,delete_product,Can delete منتج
76,19,view_product,Can view منتج
77,20,add_stockitem,Can add عنصر مخزون
78,20,change_stockitem,Can change عنصر مخزون
79,20,delete_stockitem,Can delete عنصر مخزون
80,20,view_stockitem,Can view عنصر مخزون
81,21,add_stockmovement,Can add حركة مخزون
82,21,change_stockmovement,Can change حركة مخزون
83,21,delete_stockmovement,Can delete حركة مخزون
84,21,view_stockmovement,Can view حركة مخزون
85,22,add_warehouse,Can add Warehouse
86,22,change_warehouse,Can change Warehouse
87,22,delete_warehouse,Can delete Warehouse
88,22,view_warehouse,Can view Warehouse
89,23,add_stocktransfer,Can add تحويل مخزون
90,23,change_stocktransfer,Can change تحويل مخزون
91,23,delete_stocktransfer,Can delete تحويل مخزون
92,23,view_stocktransfer,Can view تحويل مخزون
93,24,add_unit,Can add وحدة
94,24,change_unit,Can change وحدة
95,24,delete_unit,Can delete وحدة
96,24,view_unit,Can view وحدة
97,25,add_unitconversion,Can add تحويل وحدة
98,25,change_unitconversion,Can change تحويل وحدة
99,25,delete_unitconversion,Can delete تحويل وحدة
100,25,view_unitconversion,Can view تحويل وحدة
101,26,add_productbatch,Can add دفعة منتج
102,26,change_productbatch,Can change دفعة منتج
103,26,delete_productbatch,Can delete دفعة منتج
104,26,view_productbatch,Can view دفعة منتج
105,27,add_externalmanufacturer,Can add مصنع خارجي
106,27,change_externalmanufacturer,Can change مصنع خارجي
107,27,delete_externalmanufacturer,Can delete مصنع خارجي
108,27,view_externalmanufacturer,Can view مصنع خارجي
109,28,add_assemblyprocess,Can add عملية تجميع
110,28,change_assemblyprocess,Can change عملية تجميع
111,28,delete_assemblyprocess,Can delete عملية تجميع
112,28,view_assemblyprocess,Can view عملية تجميع
113,29,add_assembledgarment,Can add ملبس مجمع
114,29,change_assembledgarment,Can change ملبس مجمع
115,29,delete_assembledgarment,Can delete ملبس مجمع
116,29,view_assembledgarment,Can view ملبس مجمع
117,30,add_cuttingprocess,Can add عملية قص
118,30,change_cuttingprocess,Can change عملية قص
119,30,delete_cuttingprocess,Can delete عملية قص
120,30,view_cuttingprocess,Can view عملية قص
121,31,add_cutpiece,Can add قطعة مقصوصة
122,31,change_cutpiece,Can change قطعة مقصوصة
123,31,delete_cutpiece,Can delete قطعة مقصوصة
124,31,view_cutpiece,Can view قطعة مقصوصة
125,32,add_cuttingtable,Can add جدول قص
126,32,change_cuttingtable,Can change جدول قص
127,32,delete_cuttingtable,Can delete جدول قص
128,32,view_cuttingtable,Can view جدول قص
129,33,add_dyeingprocess,Can add عملية صباغة
130,33,change_dyeingprocess,Can change عملية صباغة
131,33,delete_dyeingprocess,Can delete عملية صباغة
132,33,view_dyeingprocess,Can view عملية صباغة
133,34,add_dyedgarment,Can add ملبس مصبوغ
134,34,change_dyedgarment,Can change ملبس مصبوغ
135,34,delete_dyedgarment,Can delete ملبس مصبوغ
136,34,view_dyedgarment,Can view ملبس مصبوغ
137,35,add_finishingprocess,Can add عملية تشطيب
138,35,change_finishingprocess,Can change عملية تشطيب
139,35,delete_finishingprocess,Can delete عملية تشطيب
140,35,view_finishingprocess,Can view عملية تشطيب
141,36,add_productionorder,Can add أمر إنتاج
142,36,change_productionorder,Can change أمر إنتاج
143,36,delete_productionorder,Can delete أمر إنتاج
144,36,view_productionorder,Can view أمر إنتاج
145,37,add_productioncostanalysis,Can add تحليل تكلفة إنتاج
146,37,change_productioncostanalysis,Can change تحليل تكلفة إنتاج
147,37,delete_productioncostanalysis,Can delete تحليل تكلفة إنتاج
148,37,view_productioncostanalysis,Can view تحليل تكلفة إنتاج
149,38,add_processdocument,Can add مستند عملية
150,38,change_processdocument,Can change مستند عملية
151,38,delete_processdocument,Can delete مستند عملية
152,38,view_processdocument,Can view مستند عملية
153,39,add_exitpermit,Can add تصريح خروج
154,39,change_exitpermit,Can change تصريح خروج
155,39,delete_exitpermit,Can delete تصريح خروج
156,39,view_exitpermit,Can view تصريح خروج
157,40,add_productionreport,Can add تقرير إنتاج
158,40,change_productionreport,Can change تقرير إنتاج
159,40,delete_productionreport,Can delete تقرير إنتاج
160,40,view_productionreport,Can view تقرير إنتاج
161,41,add_qualitycontrolcheck,Can add فحص جودة
162,41,change_qualitycontrolcheck,Can change فحص جودة
163,41,delete_qualitycontrolcheck,Can delete فحص جودة
164,41,view_qualitycontrolcheck,Can view فحص جودة
165,42,add_receiptconfirmation,Can add تأكيد استلام
166,42,change_receiptconfirmation,Can change تأكيد استلام
167,42,delete_receiptconfirmation,Can delete تأكيد استلام
168,42,view_receiptconfirmation,Can view تأكيد استلام
169,43,add_billofmaterials,Can add قائمة المواد
170,43,change_billofmaterials,Can change قائمة المواد
171,43,delete_billofmaterials,Can delete قائمة المواد
172,43,view_billofmaterials,Can view قائمة المواد
173,44,add_sizegroup,Can add مجموعة مقاسات
174,44,change_sizegroup,Can change مجموعة مقاسات
175,44,delete_sizegroup,Can delete مجموعة مقاسات
176,44,view_sizegroup,Can view مجموعة مقاسات
177,45,add_bomitem,Can add عنصر قائمة المواد
178,45,change_bomitem,Can change عنصر قائمة المواد
179,45,delete_bomitem,Can delete عنصر قائمة المواد
180,45,view_bomitem,Can view عنصر قائمة المواد
181,46,add_garmentdraw,Can add رسمة قص
182,46,change_garmentdraw,Can change رسمة قص
183,46,delete_garmentdraw,Can delete رسمة قص
184,46,view_garmentdraw,Can view رسمة قص
185,47,add_drawpiece,Can add قطعة في الرسمة
186,47,change_drawpiece,Can change قطعة في الرسمة
187,47,delete_drawpiece,Can delete قطعة في الرسمة
188,47,view_drawpiece,Can view قطعة في الرسمة
189,48,add_assemblycomponent,Can add مكون تجميع مرسل
190,48,change_assemblycomponent,Can change مكون تجميع مرسل
191,48,delete_assemblycomponent,Can delete مكون تجميع مرسل
192,48,view_assemblycomponent,Can view مكون تجميع مرسل
193,49,add_finishingcomponent,Can add مكون تشطيب مرسل
194,49,change_finishingcomponent,Can change مكون تشطيب مرسل
195,49,delete_finishingcomponent,Can delete مكون تشطيب مرسل
196,49,view_finishingcomponent,Can view مكون تشطيب مرسل
197,50,add_accountcategory,Can add Account Category / فئة حساب
198,50,change_accountcategory,Can change Account Category / فئة حساب
199,50,delete_accountcategory,Can delete Account Category / فئة حساب
200,50,view_accountcategory,Can view Account Category / فئة حساب
201,51,add_account,Can add Account / حساب
202,51,change_account,Can change Account / حساب
203,51,delete_account,Can delete Account / حساب
204,51,view_account,Can view Account / حساب
205,52,add_auditlog,Can add Audit Log / سجل التدقيق
206,52,change_auditlog,Can change Audit Log / سجل التدقيق
207,52,delete_auditlog,Can delete Audit Log / سجل التدقيق
208,52,view_auditlog,Can view Audit Log / سجل التدقيق
209,53,add_expense,Can add Expense / مصروف
210,53,change_expense,Can change Expense / مصروف
211,53,delete_expense,Can delete Expense / مصروف
212,53,view_expense,Can view Expense / مصروف
213,54,add_invoice,Can add Invoice / فاتورة
214,54,change_invoice,Can change Invoice / فاتورة
215,54,delete_invoice,Can delete Invoice / فاتورة
216,54,view_invoice,Can view Invoice / فاتورة
217,55,add_payment,Can add Payment / دفعة
218,55,change_payment,Can change Payment / دفعة
219,55,delete_payment,Can delete Payment / دفعة
220,55,view_payment,Can view Payment / دفعة
221,56,add_transaction,Can add Transaction / معاملة مالية
222,56,change_transaction,Can change Transaction / معاملة مالية
223,56,delete_transaction,Can delete Transaction / معاملة مالية
224,56,view_transaction,Can view Transaction / معاملة مالية
225,57,add_ledgerentry,Can add Ledger Entry / قيد يومية
226,57,change_ledgerentry,Can change Ledger Entry / قيد يومية
227,57,delete_ledgerentry,Can delete Ledger Entry / قيد يومية
228,57,view_ledgerentry,Can view Ledger Entry / قيد يومية
229,58,add_setting,Can add إعداد
230,58,change_setting,Can change إعداد
231,58,delete_setting,Can delete إعداد
232,58,view_setting,Can view إعداد
233,59,add_manufacturerproductprice,Can add سعر منتج المصنع
234,59,change_manufacturerproductprice,Can change سعر منتج المصنع
235,59,delete_manufacturerproductprice,Can delete سعر منتج المصنع
236,59,view_manufacturerproductprice,Can view سعر منتج المصنع
237,60,add_transactiondetail,Can add تفصيل معاملة
238,60,change_transactiondetail,Can change تفصيل معاملة
239,60,delete_transactiondetail,Can delete تفصيل معاملة
240,60,view_transactiondetail,Can view تفصيل معاملة
241,61,add_employee,Can add موظف
242,61,change_employee,Can change موظف
243,61,delete_employee,Can delete موظف
244,61,view_employee,Can view موظف
245,62,add_attendance,Can add حضور وانصراف
246,62,change_attendance,Can change حضور وانصراف
247,62,delete_attendance,Can delete حضور وانصراف
248,62,view_attendance,Can view حضور وانصراف
249,63,add_department,Can add قسم
250,63,change_department,Can change قسم
251,63,delete_department,Can delete قسم
252,63,view_department,Can view قسم
