id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,contenttypes,contenttype
5,sessions,session
6,users,user
7,users,userprofile
8,suppliers,payment
9,suppliers,purchaseorder
10,suppliers,purchaseorderdelivery
11,suppliers,purchaseorderdeliveryitem
12,suppliers,purchaseorderitem
13,suppliers,supplier
14,suppliers,suppliercontact
15,suppliers,supplierdocument
16,suppliers,supplierperformancemetric
17,suppliers,supplierrating
18,warehouses,category
19,warehouses,product
20,warehouses,stockitem
21,warehouses,stockmovement
22,warehouses,warehouse
23,warehouses,stocktransfer
24,warehouses,unit
25,warehouses,unitconversion
26,warehouses,productbatch
27,production,externalmanufacturer
28,production,assemblyprocess
29,production,assembledgarment
30,production,cuttingprocess
31,production,cutpiece
32,production,cuttingtable
33,production,dyeingprocess
34,production,dyedgarment
35,production,finishingprocess
36,production,productionorder
37,production,productioncostanalysis
38,production,processdocument
39,production,exitpermit
40,production,productionreport
41,production,qualitycontrolcheck
42,production,receiptconfirmation
43,production,billofmaterials
44,production,sizegroup
45,production,bomitem
46,production,garmentdraw
47,production,drawpiece
48,production,assemblycomponent
49,production,finishingcomponent
50,finance,accountcategory
51,finance,account
52,finance,auditlog
53,finance,expense
54,finance,invoice
55,finance,payment
56,finance,transaction
57,finance,ledgerentry
58,settings,setting
59,production,manufacturerproductprice
60,finance,transactiondetail
61,hr,employee
62,hr,attendance
63,hr,department
