id,app,name,applied
1,contenttypes,0001_initial,2025-07-05 11:28:58.114923
2,contenttypes,0002_remove_content_type_name,2025-07-05 11:28:58.154582
3,auth,0001_initial,2025-07-05 11:28:58.230776
4,auth,0002_alter_permission_name_max_length,2025-07-05 11:28:58.267173
5,auth,0003_alter_user_email_max_length,2025-07-05 11:28:58.297427
6,auth,0004_alter_user_username_opts,2025-07-05 11:28:58.328966
7,auth,0005_alter_user_last_login_null,2025-07-05 11:28:58.362093
8,auth,0006_require_contenttypes_0002,2025-07-05 11:28:58.391689
9,auth,0007_alter_validators_add_error_messages,2025-07-05 11:28:58.425510
10,auth,0008_alter_user_username_max_length,2025-07-05 11:28:58.459617
11,auth,0009_alter_user_last_name_max_length,2025-07-05 11:28:58.492158
12,auth,0010_alter_group_name_max_length,2025-07-05 11:28:58.533159
13,auth,0011_update_proxy_permissions,2025-07-05 11:28:58.567268
14,auth,0012_alter_user_first_name_max_length,2025-07-05 11:28:58.659671
15,users,0001_initial,2025-07-05 11:28:58.745391
16,admin,0001_initial,2025-07-05 11:28:58.808264
17,admin,0002_logentry_remove_auto_add,2025-07-05 11:28:58.855122
18,admin,0003_logentry_add_action_flag_choices,2025-07-05 11:28:58.908938
20,warehouses,0001_initial,2025-07-05 11:28:59.213214
21,warehouses,0002_alter_stockitem_unique_together,2025-07-05 11:28:59.293397
22,warehouses,0003_alter_stockitem_unique_together,2025-07-05 11:28:59.332881
23,warehouses,0004_create_unit_models,2025-07-05 11:28:59.394307
24,warehouses,0005_add_unit_new_field,2025-07-05 11:28:59.476019
25,warehouses,0006_warehouse_type,2025-07-05 11:28:59.531729
26,suppliers,0001_initial,2025-07-05 11:28:59.610974
27,suppliers,0002_initial,2025-07-05 11:29:00.341599
28,suppliers,0003_supplier_instapay_identifier_and_more,2025-07-05 11:29:00.503443
29,production,0001_initial,2025-07-05 11:29:01.646061
30,production,0002_productionorder_additional_notes_and_more,2025-07-05 11:29:02.297864
31,production,0003_remove_textilestock_length_available_and_more,2025-07-05 11:29:02.438086
32,production,0004_sizegroup_and_more,2025-07-05 11:29:02.878356
33,production,0005_add_size_group_model,2025-07-05 11:29:03.903119
34,production,0006_cuttingprocess_marker_details_alter_cutpiece_length_and_more,2025-07-05 11:29:04.052996
35,production,0007_garmentdraw_drawpiece,2025-07-05 11:29:04.312751
36,production,0008_cuttingprocess_single_layer_fabric_length_and_more,2025-07-05 11:29:04.494607
37,production,0009_alter_externalmanufacturer_options_and_more,2025-07-05 11:29:04.750610
38,production,0010_exitpermit_assembly_process,2025-07-05 11:29:04.954190
39,production,0011_assemblycomponent,2025-07-05 11:29:05.074004
40,production,0012_assemblycomponent_source_warehouse,2025-07-05 11:29:05.187750
41,production,0013_remove_dyeingprocess_quality_image_1_and_more,2025-07-05 11:29:05.509931
42,production,0014_remove_finishingprocess_finishing_cost_per_piece_and_more,2025-07-05 11:29:05.956839
43,production,0015_finishingcomponent,2025-07-05 11:29:06.111746
44,production,0016_qualitycontrolcheck_assembly_process_and_more,2025-07-05 11:29:06.450646
45,production,0017_alter_finalproduct_product_code,2025-07-05 11:29:06.623631
46,warehouses,0007_productbatch,2025-07-05 11:29:06.746638
47,production,0018_remove_finalproduct_finishing_process_and_more,2025-07-05 11:29:07.651776
48,warehouses,0008_alter_warehouse_options_and_more,2025-07-05 11:29:08.829053
49,production,0019_delete_finalproduct_delete_finishedproduct_and_more,2025-07-05 11:29:08.904264
50,sessions,0001_initial,2025-07-05 11:29:08.975010
51,settings,0001_initial,2025-07-05 11:29:09.005271
52,suppliers,0004_alter_payment_created_by,2025-07-05 11:29:09.099922
53,users,0002_create_groups,2025-07-05 11:29:09.221140
54,users,0003_alter_user_options_alter_user_created_at_and_more,2025-07-05 11:29:09.797901
55,warehouses,0009_warehouse_code,2025-07-05 11:29:10.003950
56,warehouses,0010_remove_product_size_group_product_size_groups,2025-07-07 11:57:29.323065
57,production,0020_remove_externalmanufacturer_price_per_piece_and_more,2025-07-07 12:36:11.711327
58,production,0021_remove_dyeingprocess_dyeing_cost_per_piece,2025-07-07 12:47:46.101342
60,production,0022_rename_size_group_billofmaterials_size_groups_and_more,2025-07-09 06:35:50.644133
61,production,0023_rename_size_groups_billofmaterials_size_group_and_more,2025-07-09 06:46:28.694365
62,hr,0001_initial,2025-07-14 09:23:44.610066
63,hr,0002_alter_employee_salary_alter_employee_work_start_time,2025-07-14 10:54:59.978526
64,hr,0003_employee_id_back_image_employee_id_face_image,2025-07-20 06:09:31.395281
65,finance,0001_initial,2025-07-20 13:31:28.649613
