id,date,check_in,check_out,employee_id
7730,2024-09-08,2024-09-08 19:34:36,2024-09-08 20:09:33,141
7731,2024-09-09,2024-09-08 21:15:57,2024-09-09 18:10:15,141
7732,2024-09-10,2024-09-10 06:33:58,2024-09-10 10:31:46,141
7733,2024-09-10,2024-09-10 07:01:24,2024-09-10 14:03:17,146
7734,2024-09-10,2024-09-10 07:36:20,2024-09-10 14:17:49,151
7735,2024-09-10,2024-09-10 07:39:31,2024-09-10 14:06:46,156
7736,2024-09-10,2024-09-10 07:43:26,2024-09-10 14:18:23,160
7740,2024-09-10,2024-09-10 08:07:47,2024-09-10 14:04:00,174
7742,2024-09-10,2024-09-10 08:13:06,2024-09-10 14:14:15,175
7743,2024-09-10,2024-09-10 08:19:22,2024-09-10 14:04:12,177
7744,2024-09-10,2024-09-10 08:40:41,2024-09-10 14:17:58,178
7745,2024-09-10,2024-09-10 09:50:05,2024-09-10 10:33:30,147
7746,2024-09-10,2024-09-10 10:33:11,2024-09-10 14:04:31,149
7747,2024-09-10,2024-09-10 10:58:54,,158
7748,2024-09-10,2024-09-10 14:03:49,2024-09-10 14:18:31,176
7749,2024-09-10,2024-09-10 14:04:06,,170
7751,2024-09-10,2024-09-10 14:04:35,,164
7752,2024-09-10,2024-09-10 14:04:41,,144
7753,2024-09-10,2024-09-10 14:04:46,,165
7754,2024-09-10,2024-09-10 14:04:58,,159
7755,2024-09-10,2024-09-10 14:06:37,,167
7756,2024-09-10,2024-09-10 14:06:59,,166
7757,2024-09-10,2024-09-10 14:07:34,,152
7758,2024-09-10,2024-09-10 14:07:40,,145
7759,2024-09-10,2024-09-10 14:08:50,,142
7761,2024-09-10,2024-09-10 14:09:43,,153
7763,2024-09-10,2024-09-10 14:12:18,,154
7764,2024-09-10,2024-09-10 14:12:24,,157
7766,2024-09-10,2024-09-10 14:20:40,,169
7768,2024-09-11,2024-09-11 04:49:35,2024-09-11 14:02:23,165
7769,2024-09-11,2024-09-11 04:49:44,2024-09-11 14:02:14,177
7770,2024-09-11,2024-09-11 04:50:13,2024-09-11 14:22:27,169
7771,2024-09-11,2024-09-11 04:51:12,2024-09-11 14:06:37,148
7773,2024-09-11,2024-09-11 04:52:15,2024-09-11 14:02:09,146
7774,2024-09-11,2024-09-11 04:52:21,2024-09-11 14:02:20,149
7775,2024-09-11,2024-09-11 04:52:35,2024-09-11 14:05:47,160
7777,2024-09-11,2024-09-11 04:54:05,2024-09-11 14:10:29,154
7778,2024-09-11,2024-09-11 04:55:45,2024-09-11 14:06:55,176
7779,2024-09-11,2024-09-11 04:59:18,2024-09-11 14:04:59,145
7780,2024-09-11,2024-09-11 04:59:27,2024-09-11 14:04:53,152
7781,2024-09-11,2024-09-11 04:59:54,2024-09-11 14:06:33,142
7782,2024-09-11,2024-09-11 05:00:08,2024-09-11 14:11:07,178
7783,2024-09-11,2024-09-11 05:00:15,2024-09-11 14:06:21,167
7786,2024-09-11,2024-09-11 05:03:40,2024-09-11 14:05:09,153
7788,2024-09-11,2024-09-11 05:04:15,2024-09-11 14:02:31,170
7789,2024-09-11,2024-09-11 05:06:28,2024-09-11 14:02:59,144
7790,2024-09-11,2024-09-11 05:06:51,2024-09-11 14:10:05,166
7791,2024-09-11,2024-09-11 05:07:31,2024-09-11 14:05:34,147
7792,2024-09-11,2024-09-11 05:08:02,2024-09-11 14:12:29,151
7795,2024-09-11,2024-09-11 05:10:49,2024-09-11 13:01:28,158
7796,2024-09-11,2024-09-11 05:11:12,2024-09-11 14:03:15,159
7797,2024-09-11,2024-09-11 05:12:37,2024-09-11 14:03:08,183
7798,2024-09-11,2024-09-11 05:15:00,2024-09-11 14:06:41,164
7799,2024-09-11,2024-09-11 05:15:07,2024-09-11 14:13:04,175
7800,2024-09-11,2024-09-11 05:15:14,2024-09-11 14:10:37,157
7803,2024-09-11,2024-09-11 05:15:31,2024-09-11 14:07:49,156
7806,2024-09-12,2024-09-12 04:53:36,2024-09-12 14:01:48,165
7807,2024-09-12,2024-09-12 04:53:50,2024-09-12 14:02:39,146
7808,2024-09-12,2024-09-12 04:53:58,2024-09-12 14:02:36,149
7809,2024-09-12,2024-09-12 04:54:04,2024-09-12 14:08:55,169
7811,2024-09-12,2024-09-12 04:55:01,2024-09-12 14:03:45,153
7813,2024-09-12,2024-09-12 04:55:18,2024-09-12 14:03:58,148
7814,2024-09-12,2024-09-12 04:56:03,2024-09-12 14:22:01,160
7815,2024-09-12,2024-09-12 04:56:41,2024-09-12 14:02:15,145
7816,2024-09-12,2024-09-12 04:57:00,2024-09-12 14:02:23,152
7817,2024-09-12,2024-09-12 04:57:19,2024-09-12 14:05:08,142
7820,2024-09-12,2024-09-12 04:59:28,2024-09-12 14:06:31,183
7821,2024-09-12,2024-09-12 04:59:55,2024-09-12 14:13:16,175
7822,2024-09-12,2024-09-12 05:00:56,2024-09-12 14:07:05,154
7823,2024-09-12,2024-09-12 05:01:03,2024-09-12 14:19:59,178
7825,2024-09-12,2024-09-12 05:01:35,2024-09-12 14:01:29,170
7826,2024-09-12,2024-09-12 05:03:49,,151
7828,2024-09-12,2024-09-12 05:04:14,2024-09-12 14:07:26,158
7829,2024-09-12,2024-09-12 05:06:35,2024-09-12 14:02:46,147
7830,2024-09-12,2024-09-12 05:06:56,2024-09-12 14:07:16,159
7831,2024-09-12,2024-09-12 05:10:17,2024-09-12 14:03:01,166
7833,2024-09-12,2024-09-12 05:10:24,2024-09-12 14:08:13,157
7834,2024-09-12,2024-09-12 05:10:33,2024-09-12 14:06:41,156
7835,2024-09-12,2024-09-12 05:12:30,2024-09-12 14:01:24,164
7836,2024-09-12,2024-09-12 05:14:57,2024-09-12 14:02:01,144
7838,2024-09-12,2024-09-12 05:17:32,2024-09-12 14:03:05,167
7841,2024-09-14,2024-09-14 04:50:15,2024-09-14 14:05:34,177
7842,2024-09-14,2024-09-14 04:50:22,2024-09-14 14:05:11,165
7844,2024-09-14,2024-09-14 04:50:49,2024-09-14 14:06:59,148
7846,2024-09-14,2024-09-14 04:51:53,2024-09-14 14:09:37,149
7847,2024-09-14,2024-09-14 04:53:40,2024-09-14 14:03:47,152
7848,2024-09-14,2024-09-14 04:53:44,2024-09-14 14:05:49,167
7849,2024-09-14,2024-09-14 04:54:26,2024-09-14 14:18:11,160
7850,2024-09-14,2024-09-14 04:54:44,2024-09-14 14:21:46,169
7851,2024-09-14,2024-09-14 04:55:15,2024-09-14 14:13:42,142
7852,2024-09-14,2024-09-14 04:56:00,2024-09-14 14:07:06,178
7853,2024-09-14,2024-09-14 04:56:48,2024-09-14 14:10:01,156
7854,2024-09-14,2024-09-14 04:56:56,2024-09-14 14:05:43,146
7855,2024-09-14,2024-09-14 04:57:11,2024-09-14 14:06:52,145
7856,2024-09-14,2024-09-14 04:57:24,2024-09-14 14:14:06,166
7857,2024-09-14,2024-09-14 04:59:10,2024-09-14 14:06:25,183
7858,2024-09-14,2024-09-14 05:00:10,2024-09-14 14:06:35,170
7859,2024-09-14,2024-09-14 05:01:40,2024-09-14 14:05:26,154
7862,2024-09-14,2024-09-14 05:03:00,2024-09-14 14:11:52,153
7865,2024-09-14,2024-09-14 05:06:22,2024-09-14 14:05:19,144
7866,2024-09-14,2024-09-14 05:07:19,2024-09-14 14:17:41,175
7867,2024-09-14,2024-09-14 05:07:29,2024-09-14 14:12:13,147
7870,2024-09-14,2024-09-14 05:10:08,2024-09-14 10:33:04,158
7872,2024-09-14,2024-09-14 05:11:46,2024-09-14 14:17:20,159
7875,2024-09-14,2024-09-14 06:09:47,,151
7876,2024-09-15,2024-09-15 04:47:40,2024-09-15 14:03:49,148
7877,2024-09-15,2024-09-15 04:47:49,2024-09-15 14:03:37,165
7878,2024-09-15,2024-09-15 04:51:28,2024-09-15 14:11:02,166
7879,2024-09-15,2024-09-15 04:52:03,2024-09-15 14:04:38,177
7881,2024-09-15,2024-09-15 04:52:47,2024-09-15 14:07:52,145
7883,2024-09-15,2024-09-15 04:53:00,2024-09-15 14:06:22,152
7885,2024-09-15,2024-09-15 04:56:17,2024-09-15 14:02:50,146
7886,2024-09-15,2024-09-15 04:57:13,2024-09-15 14:08:46,142
7887,2024-09-15,2024-09-15 04:58:22,2024-09-15 14:12:31,154
7889,2024-09-15,2024-09-15 05:00:35,2024-09-15 14:05:23,147
7891,2024-09-15,2024-09-15 05:01:06,2024-09-15 14:13:36,175
7894,2024-09-15,2024-09-15 05:04:12,2024-09-15 14:02:45,170
7895,2024-09-15,2024-09-15 05:05:05,2024-09-15 14:04:50,183
7896,2024-09-15,2024-09-15 05:05:27,,176
7898,2024-09-15,2024-09-15 05:06:46,2024-09-15 14:10:45,187
7899,2024-09-15,2024-09-15 05:07:15,2024-09-15 14:05:30,144
7900,2024-09-15,2024-09-15 05:07:42,2024-09-15 14:08:01,159
7901,2024-09-15,2024-09-15 05:11:20,2024-09-15 14:16:21,178
7902,2024-09-15,2024-09-15 05:13:55,2024-09-15 14:05:57,156
7904,2024-09-15,2024-09-15 05:15:27,2024-09-15 14:11:27,153
7905,2024-09-15,2024-09-15 05:15:35,2024-09-15 14:07:48,167
7907,2024-09-15,2024-09-15 05:21:54,2024-09-15 14:15:48,157
7910,2024-09-15,2024-09-15 05:27:17,2024-09-15 14:16:29,160
7911,2024-09-15,2024-09-15 05:31:47,2024-09-15 14:05:10,149
7912,2024-09-15,2024-09-15 05:39:10,2024-09-15 14:17:50,169
7913,2024-09-15,2024-09-15 05:46:42,2024-09-15 12:55:46,158
7915,2024-09-16,2024-09-16 04:43:33,2024-09-16 14:01:50,177
7916,2024-09-16,2024-09-16 04:44:32,2024-09-16 14:21:06,169
7917,2024-09-16,2024-09-16 04:44:46,2024-09-16 14:13:53,148
7918,2024-09-16,2024-09-16 04:44:51,2024-09-16 14:02:32,165
7919,2024-09-16,2024-09-16 04:46:58,2024-09-16 14:08:20,145
7920,2024-09-16,2024-09-16 04:47:06,2024-09-16 14:08:27,152
7921,2024-09-16,2024-09-16 04:53:27,2024-09-16 14:02:27,146
7922,2024-09-16,2024-09-16 04:54:20,2024-09-16 14:02:09,149
7925,2024-09-16,2024-09-16 04:57:16,2024-09-16 14:08:35,142
7926,2024-09-16,2024-09-16 04:59:20,2024-09-16 14:18:22,178
7927,2024-09-16,2024-09-16 05:00:14,2024-09-16 14:06:02,153
7928,2024-09-16,2024-09-16 05:01:19,2024-09-16 14:02:55,170
7930,2024-09-16,2024-09-16 05:02:51,2024-09-16 14:06:22,187
7932,2024-09-16,2024-09-16 05:03:37,2024-09-16 14:09:04,166
7933,2024-09-16,2024-09-16 05:03:41,2024-09-16 14:13:23,154
7936,2024-09-16,2024-09-16 05:04:45,2024-09-16 14:14:36,175
7937,2024-09-16,2024-09-16 05:05:32,2024-09-16 14:05:16,159
7939,2024-09-16,2024-09-16 05:07:29,2024-09-16 14:02:48,183
7940,2024-09-16,2024-09-16 05:07:43,2024-09-16 14:00:51,167
7941,2024-09-16,2024-09-16 05:08:05,2024-09-16 10:08:33,158
7942,2024-09-16,2024-09-16 05:08:39,2024-09-16 14:16:19,160
7943,2024-09-16,2024-09-16 05:09:05,2024-09-16 14:05:04,156
7944,2024-09-16,2024-09-16 05:13:47,2024-09-16 14:13:33,144
7945,2024-09-16,2024-09-16 05:14:49,2024-09-16 14:04:10,147
7946,2024-09-16,2024-09-16 05:15:26,2024-09-16 14:08:56,157
7949,2024-09-16,2024-09-16 13:44:52,,141
7950,2024-09-16,2024-09-16 14:01:42,,189
7955,2024-09-17,2024-09-17 04:50:34,2024-09-17 14:21:13,178
7956,2024-09-17,2024-09-17 04:51:20,2024-09-17 14:03:27,177
7957,2024-09-17,2024-09-17 04:51:31,2024-09-17 14:17:42,169
7958,2024-09-17,2024-09-17 04:53:13,2024-09-17 14:03:11,146
