id,quantity_sent,assembly_process_id,material_id,source_warehouse_id
1,1044,1,8,1
2,1044,1,33,1
3,2088,1,32,1
4,558,2,8,1
5,618,2,9,1
6,356,3,9,1
7,352,3,8,1
8,528,4,8,1
9,486,4,9,1
10,1014,4,33,1
11,2028,4,32,1
12,660,5,8,1
13,1074,5,10,1
14,1074,5,28,1
15,414,5,9,1
16,480,6,8,1
17,335,6,9,1
18,815,6,33,1
19,1650,6,32,1
20,920,7,9,1
21,1850,7,32,1
22,920,7,33,1
23,71,8,9,1
24,612,8,8,1
25,2520,8,32,1
26,360,9,8,1
27,410,9,9,1
28,1560,9,32,1
29,414,10,8,1
30,426,10,9,1
31,7100,10,28,1
32,1350,11,9,1
33,2700,11,32,1
34,1350,11,33,1
35,1400,12,32,1
36,688,12,33,1
37,688,12,9,1
38,624,13,8,1
39,624,13,33,1
40,1248,13,32,1
41,820,14,9,1
42,1650,14,32,1
43,820,14,33,1
