id,assembly_type,quantity_sent,quantity_received,defects_count,losses_count,thread_consumption,thread_cost,start_date,expected_completion_date,actual_completion_date,assembly_cost,notes,defect_notes,is_completed,assembler_id,external_manufacturer_id,production_order_id
1,outsourced,1044,0,0,0,0,0,2025-07-06 07:53:57.789256,2025-07-14,,0,,,0,,1.0,1
2,outsourced,1158,1156,2,2,0,0,2025-07-07 07:57:06.371343,2025-07-14,2025-07-20 07:33:30.990646,0,,,1,,2.0,2
3,outsourced,708,0,0,0,0,0,2025-07-07 08:13:53.937982,2025-07-14,,0,صدور فقط,,0,,3.0,3
4,outsourced,1014,1014,0,0,0,0,2025-07-10 13:49:43.856835,2025-07-17,2025-07-22 06:48:15.218323,0,,هناك 2 ظهر فقط,1,,4.0,5
5,in_house,1074,0,0,0,0,0,2025-07-12 12:01:43.959748,2025-07-19,,0,,,0,1.0,,7
6,outsourced,815,813,2,2,0,0,2025-07-13 07:40:33.497853,2025-07-20,2025-07-19 10:35:34.332730,0,دبلان اسود  و السوسته مقاس 18,2 ظهر و 1 صدر,1,,5.0,4
7,outsourced,918,917,1,0,0,0,2025-07-13 10:55:36.420915,2025-07-20,2025-07-24 11:21:20.523198,0,,جايب حته ظهر و صدر يعني ١ قطعه يبقي مظبوط,1,,4.0,9
8,outsourced,1251,0,0,0,0,0,2025-07-19 08:52:07.477050,2025-07-26,,0,,,0,,4.0,11
9,outsourced,770,0,0,0,0,0,2025-07-19 12:36:44.985019,2025-07-26,,0,,,0,,2.0,6
10,in_house,840,0,0,0,0,0,2025-07-21 07:53:23.128831,2025-07-28,,0,,,0,1.0,,13
11,outsourced,1350,0,0,0,0,0,2025-07-21 12:36:43.638486,2025-07-28,,0,السوسته مقاس 8 سم,,0,,4.0,10
12,outsourced,688,0,0,0,0,0,2025-07-22 09:35:33.012898,2025-07-29,,0,,,0,,5.0,16
13,outsourced,624,0,0,0,0,0,2025-07-22 09:58:52.092227,2025-07-29,,0,,,0,,5.0,15
14,outsourced,820,0,0,0,0,0,2025-07-22 11:07:16.606354,2025-07-29,,0,,,0,,2.0,8
