id,quantity,notes,bom_id,material_id
1,1.0,,1,8
2,1.0,,1,33
3,2.0,,1,32
4,1.0,,2,8
5,1.0,,2,33
6,2.0,,2,32
7,1.0,,2,30
8,1.0,,3,8
9,1.0,,3,33
10,2.0,,3,32
11,0.49,,3,30
12,2.0,,4,32
13,1.0,,4,9
14,1.0,,4,10
15,1.0,,4,28
16,2.0,,5,32
17,1.0,,5,9
18,1.0,,5,10
19,1.0,,5,28
20,1.05,,5,35
21,1.13,,6,35
22,1.0,,6,10
23,1.0,,6,9
24,2.0,,6,32
25,1.0,,6,25
26,1.22,,7,35
27,1.0,,7,10
28,1.0,,7,8
29,2.0,,7,32
30,1.0,,7,28
31,1.23,,8,35
32,1.0,,8,9
33,2.0,,8,32
34,0.72,,9,35
35,1.0,,9,8
36,2.0,,9,32
37,1.0,,9,10
38,1.0,,9,28
39,1.05,,10,41
40,1.0,,10,20
41,1.0,,10,9
42,1.0,,10,10
43,0.25,,10,32
44,1.08,,11,42
45,1.0,,11,9
46,1.0,,11,11
47,1.0,,11,28
48,0.73,,12,42
49,0.74,,13,45
50,1.07,,14,45
51,1.02,,15,50
52,1.1,,16,52
53,1.0,,16,8
54,1.0,,16,33
55,1.0,,16,32
56,1.24,,17,41
57,2.0,,17,32
58,1.0,,17,33
59,1.0,,17,9
60,1.1,,18,52
61,1.0,,18,8
62,1.0,,18,33
63,2.0,,18,32
