id,piece_type,size,quantity,length,reserved_for_assembly,notes,cutting_process_id,width
1,ظهر يمين,26,348,,0,,1,
2,ظهر شمال,26,348,,0,,1,
3,سدر يمين,26,348,,0,,1,
4,سدر شمال,26,348,,0,,1,
5,كمر,26,348,,0,,1,
6,باليتة سوستة,26,348,,0,,1,
7,جيب أمامي,26,696,,0,,1,
8,جيب خلفي,26,696,,0,,1,
9,بطانة جيب,26,1392,,0,,1,
10,كسر سوستة,26,348,,0,,1,
11,جيب ساعة,26,348,,0,,1,
12,دوبلير كمر,26,348,,0,,1,
13,ظهر يمين,28,348,,0,,1,
14,ظهر شمال,28,348,,0,,1,
15,سدر يمين,28,348,,0,,1,
16,سدر شمال,28,348,,0,,1,
17,كمر,28,348,,0,,1,
18,باليتة سوستة,28,348,,0,,1,
19,جيب أمامي,28,696,,0,,1,
20,جيب خلفي,28,696,,0,,1,
21,بطانة جيب,28,1392,,0,,1,
22,كسر سوستة,28,348,,0,,1,
23,جيب ساعة,28,348,,0,,1,
24,دوبلير كمر,28,348,,0,,1,
25,ظهر يمين,30,348,,0,,1,
26,ظهر شمال,30,348,,0,,1,
27,سدر يمين,30,348,,0,,1,
28,سدر شمال,30,348,,0,,1,
29,كمر,30,348,,0,,1,
30,باليتة سوستة,30,348,,0,,1,
31,جيب أمامي,30,696,,0,,1,
32,جيب خلفي,30,696,,0,,1,
33,بطانة جيب,30,1392,,0,,1,
34,كسر سوستة,30,348,,0,,1,
35,جيب ساعة,30,348,,0,,1,
36,دوبلير كمر,30,348,,0,,1,
37,ظهر يمين,34,386,,0,,2,
38,ظهر شمال,34,386,,0,,2,
39,سدر يمين,34,386,,0,,2,
40,سدر شمال,34,386,,0,,2,
41,كمر,34,386,,0,,2,
42,باليتة سوستة,34,386,,0,,2,
43,جيب أمامي,34,772,,0,,2,
44,جيب خلفي,34,772,,0,,2,
45,بطانة جيب,34,1544,,0,,2,
46,كسر سوستة,34,386,,0,,2,
47,جيب ساعة,34,386,,0,,2,
48,دوبلير كمر,34,386,,0,,2,
49,ظهر يمين,36,386,,0,,2,
50,ظهر شمال,36,386,,0,,2,
51,سدر يمين,36,386,,0,,2,
52,سدر شمال,36,386,,0,,2,
53,كمر,36,386,,0,,2,
54,باليتة سوستة,36,386,,0,,2,
55,جيب أمامي,36,772,,0,,2,
56,جيب خلفي,36,772,,0,,2,
57,بطانة جيب,36,1544,,0,,2,
58,كسر سوستة,36,386,,0,,2,
59,جيب ساعة,36,386,,0,,2,
60,دوبلير كمر,36,386,,0,,2,
61,ظهر يمين,38,386,,0,,2,
62,ظهر شمال,38,386,,0,,2,
63,سدر يمين,38,386,,0,,2,
64,سدر شمال,38,386,,0,,2,
65,كمر,38,386,,0,,2,
66,باليتة سوستة,38,386,,0,,2,
67,جيب أمامي,38,772,,0,,2,
68,جيب خلفي,38,772,,0,,2,
69,بطانة جيب,38,1544,,0,,2,
70,كسر سوستة,38,386,,0,,2,
71,جيب ساعة,38,386,,0,,2,
72,دوبلير كمر,38,386,,0,,2,
73,ظهر يمين,36,177,,0,,3,
74,ظهر شمال,36,177,,0,,3,
75,سدر يمين,36,177,,0,,3,
76,سدر شمال,36,177,,0,,3,
77,كمر,36,177,,0,,3,
78,باليتة سوستة,36,177,,0,,3,
79,جيب أمامي,36,354,,0,,3,
80,جيب خلفي,36,354,,0,,3,
81,بطانة جيب,36,708,,0,,3,
