id,fabric_length,layers_count,pieces_per_layer,total_pieces,notes,cutting_process_id
1,93.0,15,12,180,,1
2,126.0,21,12,252,,1
3,123.0,20,12,240,,1
4,102.0,17,12,204,,1
5,85.0,14,12,168,,1
6,89.13,13,6,78,,2
7,106.7,17,6,102,,2
8,60.85,9,6,54,,2
9,115.06,18,6,108,,2
10,100.5,16,6,96,,2
11,100.12,16,6,96,,2
12,115.02,18,6,108,,2
13,123.02,20,6,120,,2
14,100.02,16,6,96,,2
15,115.6,18,6,108,,2
16,103.12,16,6,96,,2
17,103.0,16,6,96,,2
18,100.5,22,4,88,كحلي,3
19,100.2,22,4,88,كحلي,3
20,100.1,22,4,88,كحلي,3
21,100.4,22,4,88,كحلي,3
22,99.1,22,4,88,اسود,3
23,100.1,22,4,88,اسود,3
24,100.5,22,4,88,اسود,3
25,103.02,23,4,92,اسود,3
26,100.4,16,5,80,كحلي,4
27,100.6,16,5,80,كحلي,4
28,100.14,16,5,80,كحلي,4
29,100.7,16,5,80,كحلي,4
30,100.1,16,5,80,كحلي,4
31,100.1,16,5,80,كحلي,4
32,115.56,19,5,95,اسود,4
33,100.12,16,5,80,اسود,4
34,100.2,16,5,80,اسود,4
35,100.3,16,5,80,اسود,4
36,84.1,12,6,72,كحلي,5
37,112.3,18,6,108,كحلي,5
38,130.9,22,6,132,كحلي,5
39,86.2,14,6,84,كحلي,5
40,125.3,22,6,132,كحلي,5
41,90.8,14,6,84,اسود,5
42,90.5,15,6,90,اسود,5
43,100.7,16,6,96,اسود,5
44,119.76,21,6,126,اسود,5
45,95.3,15,6,90,اسود,5
46,121.6,20,5,100,,6
47,125.2,20,5,100,,6
48,83.74,13,5,65,,6
49,120.11,19,5,95,,6
50,101.25,16,5,80,,6
51,100.7,16,5,80,,6
52,110.12,18,5,90,,6
53,100.7,16,5,80,,6
54,100.1,16,5,80,,6
55,120.5,28,6,168,,7
56,125.3,29,6,174,,7
57,113.47,26,6,156,,7
58,120.9,27,6,162,,7
59,100.7,23,6,138,,7
60,100.11,23,6,138,,7
61,100.8,23,6,138,,7
62,140.29,21,6,126,,8
63,105.42,16,6,96,,8
64,140.0,21,6,126,,8
65,120.7,18,6,108,,8
66,140.24,21,6,126,,8
67,140.7,20,6,120,,8
68,100.0,15,6,90,,9
69,103.0,15,6,90,,9
70,100.0,16,6,96,,9
71,107.0,16,6,96,,9
72,100.0,15,6,90,,9
73,100.0,15,6,90,,9
74,100.0,15,6,90,,9
75,100.0,15,6,90,,9
76,100.0,15,6,90,,9
77,100.0,16,6,96,,9
78,100.0,15,9,135,,10
79,100.0,15,9,135,,10
80,100.0,15,9,135,,10
81,100.0,15,9,135,,10
82,100.0,15,9,135,,10
83,100.0,15,9,135,,10
84,100.0,15,9,135,,10
85,100.0,15,9,135,,10
86,100.0,15,9,135,,10
87,100.0,15,9,135,,10
88,99.0,15,9,135,,11
89,100.0,15,9,135,,11
90,80.0,11,9,99,,11
91,100.0,14,9,126,,11
92,85.0,12,9,108,,11
93,100.0,15,9,135,,11
94,100.0,15,9,135,,11
95,91.0,14,9,126,,11
96,100.0,15,9,135,,11
97,90.0,13,9,117,,11
98,100.0,16,6,96,كحلي,12
99,101.0,15,6,90,كحلي,12
100,100.0,15,6,90,كحلي,12
101,100.0,16,6,96,كحلي,12
102,100.0,15,6,90,كحلي,12
103,100.0,15,6,90,كحلي,12
104,83.0,13,6,78,اسود,12
105,100.0,15,6,90,اسود,12
106,100.0,15,6,90,اسود,12
107,89.0,14,6,84,اسود,12
108,72.18,11,6,66,اسود,13
109,125.0,20,6,120,اسود,13
110,125.0,20,6,120,اسود,13
111,126.0,20,6,120,اسود,13
112,110.82,18,6,108,كحلي,13
113,110.9,18,6,108,كحلي,13
114,95.72,14,6,84,كحلي,13
115,123.2,19,6,114,كحلي,13
116,107.26,17,6,102,اسود,14
117,110.26,16,6,96,اسود,14
118,110.13,18,6,108,اسود,14
119,110.22,18,6,108,اسود,14
120,120.03,19,6,114,كحلي,14
121,110.09,18,6,108,كحلي,14
122,122.31,19,6,114,كحلي,14
123,122.85,20,6,120,كحلي,14
124,125.25,19,6,114,اسود,14
125,49.0,7,6,42,,15
126,64.0,10,6,60,,15
127,92.7,14,6,84,,15
128,85.0,13,6,78,,15
129,100.0,15,6,90,,15
130,51.0,8,6,48,,15
131,68.0,10,6,60,,15
132,100.0,15,6,90,,15
133,81.0,12,6,72,,15
134,139.0,26,4,104,,16
135,120.0,24,4,96,,16
136,110.65,22,4,88,,16
137,79.02,16,4,64,,16
138,140.11,27,4,108,,16
139,140.16,28,4,112,,16
140,144.5,29,4,116,,16
