id,permit_number,permit_type,items_description,quantity,destination,purpose,status,requested_at,approved_at,valid_until,used_at,notes,approved_by_id,requested_by_id,production_order_id,assembly_process_id,dyeing_process_id,finishing_process_id
1,EP-20250706-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون 117 اطفال (أمر #ORD-20250706-9665)
مجموعة المقاسات: اطفال (26, 28, 30)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 1044.00 وحدة
- تيكت مقاسات: 1044.00 وحدة
- دبلان: 2088.00 وحدة",1044,ام ريناد,إرسال للتجميع الخارجي,used,2025-07-06 08:21:39.476707,2025-07-06 08:30:03.578130,2025-07-13 08:15:57,2025-07-06 11:32:41.612952,كود القصه : 1438,1.0,1,1,1.0,,
2,EP-20250707-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون guess رجالي (أمر #1439)
مجموعة المقاسات: رجالي (34, 36, 38)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 558.00 وحدة
- سوسته  اسود مقاس (6و8و10و12و15و18): 618.00 وحدة",1158,هاني أبو المعاطي,إرسال للتجميع الخارجي,approved,2025-07-07 07:58:47.805379,2025-07-20 07:33:37.404578,2025-07-14 07:57:58,,السوسته مقاس 12,1.0,1,2,2.0,,
3,EP-20250707-002,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون خاص guess (أمر #ORD-20250706-1440)
مجموعة المقاسات: خاص (36, 38, 40, 42)

--- مكونات إضافية مرسلة ---
- سوسته  اسود مقاس (6و8و10و12و15و18): 356.00 وحدة
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 352.00 وحدة",708,احمد المتولي,إرسال للتجميع الخارجي,used,2025-07-07 08:14:41.189878,2025-07-07 08:16:42.042472,2025-07-14 08:13:54,2025-07-07 08:16:46.223158,صدور فقط,1.0,1,3,3.0,,
4,EP-20250710-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون guess رجالي (أمر #ORD-20250707-1442)
مجموعة المقاسات: رجالي (34, 36, 38)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 528.00 وحدة
- سوسته  اسود مقاس (6و8و10و12و15و18): 486.00 وحدة
- تيكت مقاسات: 1014.00 وحدة
- دبلان: 2028.00 وحدة",1014,حسن صبري,إرسال للتجميع الخارجي,used,2025-07-10 13:49:53.207021,2025-07-10 13:49:57.657465,2025-07-17 13:49:43,2025-07-10 13:49:58.689631,,1.0,1,5,4.0,,
5,EP-20250713-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون رجالي جامبو (أمر #ORD-20250707-1441)
مجموعة المقاسات: رجالي جامبو (40, 42, 44, 46, 48)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 480.00 وحدة
- سوسته  اسود مقاس (6و8و10و12و15و18): 335.00 وحدة
- تيكت مقاسات: 815.00 وحدة
- دبلان: 1650.00 وحدة",815,الشيخ ايمن ورده,إرسال للتجميع الخارجي,used,2025-07-13 07:41:52.130304,2025-07-13 07:41:57.212719,2025-07-20 07:40:33,2025-07-13 07:42:00.597975,"سوسته مقاس 18 و الدبلان اللون اسود 
بنطلون رجالي جامبو guess",1.0,1,4,6.0,,
6,EP-20250713-002,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون رجالي سوفت (أمر #ORD-20250712-1446)
مجموعة المقاسات: رجالي (30, 32, 33, 34, 36, 38)

--- مكونات إضافية مرسلة ---
- سوسته  اسود مقاس (6و8و10و12و15و18): 920.00 وحدة
- دبلان: 1850.00 وحدة
- تيكت مقاسات: 920.00 وحدة",918,حسن صبري,إرسال للتجميع الخارجي,used,2025-07-13 11:03:50.319342,2025-07-13 11:03:56.153571,2025-07-25 10:55:42,2025-07-13 11:03:57.253802,سوسته مقاس 12 اللون اسود مواصفات الجيب 18 عرض 17 طول,1.0,1,9,7.0,,
7,EP-20250719-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون أولادي newland (أمر #ORD-20250719-1449)
مجموعة المقاسات: اولادي 32 -> 36 (32, 34, 36)

--- مكونات إضافية مرسلة ---
- سوسته  اسود مقاس (6و8و10و12و15و18): 71.00 وحدة
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 612.00 وحدة
- دبلان: 2520.00 وحدة",1251,حسن صبري,إرسال للتجميع الخارجي,used,2025-07-19 08:54:20.328237,2025-07-19 08:54:25.426654,2025-07-26 08:52:07,2025-07-19 08:54:26.326510,السوسته المرسله 639 اسود و 612 كحلي,1.0,1,11,8.0,,
8,EP-20250719-002,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون جامبو guess (أمر #ORD-20250709-1443)
مجموعة المقاسات: رجالي جامبو (40, 42, 44, 46, 48)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 360.00 وحدة
- سوسته  اسود مقاس (6و8و10و12و15و18): 410.00 وحدة
- دبلان: 1560.00 وحدة",770,هاني أبو المعاطي,إرسال للتجميع الخارجي,used,2025-07-19 12:38:56.741650,2025-07-19 12:39:11.454629,2025-07-26 12:36:45,2025-07-19 12:39:12.333687,تيكت مقاسات 1540,1.0,1,6,9.0,,
9,EP-20250720-001,dyeing_garments,"ملابس جاهزة للصباغة للمنتج: بنطلون رجالي جامبو (أمر #ORD-20250707-1441)
مجموعة المقاسات: رجالي جامبو (40, 42, 44, 46, 48)",813,مصبغه مكه فاشون,إرسال للصباغة - اللون: ازرق,used,2025-07-20 07:52:05.176686,2025-07-20 07:52:17.690107,2025-07-27 07:52:01,2025-07-20 07:52:18.687100,,1.0,1,4,,2.0,
10,EP-20250720-002,dyeing_garments,"ملابس جاهزة للصباغة للمنتج: بنطلون guess رجالي (أمر #1439)
مجموعة المقاسات: رجالي (34, 36, 38)",1156,مصبغه مكه فاشون,إرسال للصباغة - اللون: ازرق,used,2025-07-20 07:54:28.063432,2025-07-20 07:54:34.938654,2025-07-27 07:54:19,2025-07-20 07:54:35.955459,,1.0,1,2,,1.0,
11,EP-20250721-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون اولادي سوفت (أمر #ORD-20250713-1447)
مجموعة المقاسات: اولادي 32 -> 36 (32, 34, 36)

--- مكونات إضافية مرسلة ---
- سوسته  اسود مقاس (6و8و10و12و15و18): 1350.00 وحدة
- دبلان: 2700.00 وحدة
- تيكت مقاسات: 1350.00 وحدة",1350,حسن صبري,إرسال للتجميع الخارجي,used,2025-07-21 12:36:48.442859,2025-07-21 12:36:55.607318,2025-07-28 12:36:43,2025-07-21 12:36:56.890142,,1.0,1,10,11.0,,
12,EP-20250722-001,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون خاص karl (أمر #ORD-20250721-1453)
مجموعة المقاسات: خاص (36, 38, 40, 42)

--- مكونات إضافية مرسلة ---
- دبلان: 1400.00 وحدة
- تيكت مقاسات: 688.00 وحدة
- سوسته  اسود مقاس (6و8و10و12و15و18): 688.00 وحدة",688,الشيخ ايمن ورده,إرسال للتجميع الخارجي,used,2025-07-22 09:36:01.013468,2025-07-22 09:36:09.526952,2025-07-29 09:35:52,2025-07-22 09:36:10.626536,,1.0,1,16,12.0,,
13,EP-20250722-002,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون رجالي Lee (أمر #ORD-20250721-1452)
مجموعة المقاسات: رجالي (30, 32, 33, 34, 36, 38)

--- مكونات إضافية مرسلة ---
- سوسته كحلي مقاس (6و8و10و12و14و15و18): 624.00 وحدة
- تيكت مقاسات: 624.00 وحدة
- دبلان: 1248.00 وحدة",624,الشيخ ايمن ورده,إرسال للتجميع الخارجي,used,2025-07-22 09:59:21.805599,2025-07-22 09:59:31.091548,2025-07-29 09:58:52,2025-07-22 09:59:33.860539,سوسته مقاس 12 كحلي,1.0,1,15,13.0,,
14,EP-20250722-003,assembly_pieces,"قطع جاهزة للتجميع للمنتج: بنطلون karl رجالي (أمر #ORD-20250709-1445)
مجموعة المقاسات: رجالي (30, 32, 33, 34, 36, 38)

--- مكونات إضافية مرسلة ---
- سوسته  اسود مقاس (6و8و10و12و15و18): 820.00 وحدة
- دبلان: 1650.00 وحدة
- تيكت مقاسات: 820.00 وحدة",820,هاني أبو المعاطي,إرسال للتجميع الخارجي,used,2025-07-22 11:07:27.862362,2025-07-22 11:07:32.156194,2025-07-29 11:07:16,2025-07-22 11:07:33.141494,,1.0,1,8,14.0,,
