id,order_number,batch_number,quantity_ordered,fabric_meters_allocated,status,priority,start_date,expected_completion_date,actual_completion_date,notes,created_at,approved_at,approved_by_id,created_by_id,product_id,additional_notes,attachments,customer_reference,delivery_location,expected_completion_time,fabric_image,is_active,is_rush_order,minimum_stock_level,quality_check_required,quality_level,quality_requirements,special_instructions,start_time,bom_version_id,textile_stock_id
1,ORD-20250706-9665,BATCH-FIN-0001-250706-23,1044,511.56,in_assembly,medium,2025-07-06,2025-07-20,,,2025-07-06 07:30:52.114346,2025-07-06 07:30:58.670860,1,1,31,,,,,,,1,0,0,1,standard,,,,3,30
2,1439,1439,1158,1215.9,in_dyeing,medium,2025-07-05,2025-07-20,,,2025-07-06 13:04:59.858827,2025-07-06 13:10:06.741726,1,1,36,,,,,,,1,0,0,1,standard,,,,5,35
3,ORD-20250706-1440,BATCH-FIN-0002-250706-1440,708,800.04,in_assembly,medium,2025-07-06,2025-07-21,,,2025-07-06 13:09:44.841173,2025-07-06 13:12:03.790940,1,1,34,,,,,,,1,0,0,1,standard,,,,6,35
4,ORD-20250707-1441,BATCH-FIN-0004-250707-1441,815,994.3,in_finishing,medium,2025-07-07,2025-07-22,,,2025-07-07 09:43:17.265268,2025-07-07 09:43:33.313545,1,1,37,,,,,,,1,0,0,1,standard,,,,7,35
5,ORD-20250707-1442,BATCH-FIN-0003-250707-1442,1014,1064.7,in_dyeing,medium,2025-07-07,2025-07-24,,,2025-07-07 12:09:58.294758,2025-07-09 11:11:07.489962,1,1,36,,,,,,,1,0,0,1,standard,,,,5,35
6,ORD-20250709-1443,BATCH-FIN-0005-250709-1443,770,947.1,in_assembly,medium,2025-07-08,2025-07-23,,,2025-07-09 11:10:20.165682,2025-07-09 11:30:14.047895,1,1,38,,,,,,,1,0,0,1,standard,,,,8,35
7,ORD-20250709-1444,BATCH-FIN-0006-250709-1444,1074,773.28,in_assembly,medium,2025-07-09,2025-07-25,,,2025-07-09 12:08:32.134669,2025-07-09 12:08:42.300866,1,1,39,,,,,,,1,0,0,1,standard,,,,9,35
8,ORD-20250709-1445,BATCH-FIN-0007-250709-1445,820,861.0,in_assembly,medium,2025-07-10,2025-07-24,,,2025-07-09 13:28:02.496402,2025-07-10 13:58:18.795009,1,1,40,,,,,,,1,0,0,1,standard,,,,10,40
9,ORD-20250712-1446,BATCH-FIN-0008-250712-1446,880,950.4,in_dyeing,medium,2025-07-12,2025-07-29,,,2025-07-12 08:40:48.519721,2025-07-12 08:41:57.007402,1,1,43,,,,,,,1,0,0,1,standard,,,,11,41
10,ORD-20250713-1447,BATCH-FIN-0009-250713-1447,1350,985.5,in_assembly,medium,2025-07-13,2025-07-27,,,2025-07-13 11:26:51.871434,2025-07-13 11:27:10.274313,1,1,44,,,,,,,1,0,0,1,standard,,,,12,41
11,ORD-20250719-1449,BATCH-FIN-0011-250719-1449,1251,925.74,in_assembly,medium,2025-07-15,2025-07-30,,,2025-07-19 08:43:38.237661,2025-07-19 08:43:51.197093,1,1,47,,,,,,,1,0,0,1,standard,,,,13,42
12,ORD-20250719-1448,BATCH-FIN-0010-250719-1448,894,956.58,in_assembly,medium,2025-07-13,2025-07-27,,,2025-07-19 09:35:25.207074,2025-07-19 09:55:45.209208,1,1,46,,,,,,,1,0,0,1,standard,,,,14,42
13,ORD-20250719-1450,BATCH-FIN-0012-250719-1450,840,856.8,in_assembly,medium,2025-07-17,2025-07-17,,,2025-07-19 09:51:52.755702,2025-07-19 10:03:17.194650,1,1,48,,,,,,,1,0,0,1,standard,,,,15,43
14,ORD-20250717-1451,BATCH-FIN-0012-250719-1451,990,1009.8,in_assembly,medium,2025-07-17,2025-07-31,,,2025-07-19 09:53:27.490389,2025-07-19 10:09:24.445226,1,1,48,,,,,,,1,0,0,1,standard,,,,15,43
15,ORD-20250721-1452,BATCH-FIN-0014-250721-1452,624,686.4,in_assembly,medium,2025-07-20,2025-08-10,,Copy of v2.,2025-07-21 12:59:23.602836,2025-07-21 13:01:43.591295,1,1,51,,,,,,,1,0,0,1,standard,,,,18,44
16,ORD-20250721-1453,BATCH-FIN-0015-250721-1453,688,853.12,in_assembly,medium,2025-07-21,2025-08-11,,Copy of v2.,2025-07-21 13:01:06.703692,2025-07-21 13:01:30.558937,1,1,53,,,,,,,1,0,0,1,standard,,,,17,40
