id,name,code,barcode,product_type,unit,cost_price,selling_price,min_stock_level,is_active,created_at,category_id,unit_new_id,colors,fabric_quantity_per_piece,quality_grade,width
1,شيكارا رجالي,ACC-0001,,accessory,piece,0.0,,80,1,2025-07-05 12:41:50.707205,2,,,,A,
2,شيكارا اولادي,ACC-0002,,accessory,piece,0.0,,110,1,2025-07-05 12:42:39.616375,2,,,,A,
3,كروت رجالي,ACC-0003,,accessory,piece,0.0,,2000,1,2025-07-05 12:43:19.400558,2,,,,A,
4,كروت رجال كبير,ACC-0004,,accessory,piece,0.0,,2000,1,2025-07-05 12:43:55.849370,2,,,,A,
5,كروت اولادي,ACC-0005,,accessory,piece,0.0,,2000,1,2025-07-05 12:44:32.216334,2,,,,A,
6,كروت اطفال,ACC-0006,,accessory,piece,0.0,,2000,1,2025-07-05 12:44:53.750317,1,,,,A,
7,كروت lee,ACC-0007,,accessory,piece,0.0,,2000,1,2025-07-05 12:45:31.565715,2,,,,A,
8,سوسته كحلي مقاس (6و8و10و12و14و15و18),ACC-0008,,accessory,piece,0.0,,10000,1,2025-07-05 12:47:40.982249,1,,,,A,
9,سوسته  اسود مقاس (6و8و10و12و15و18),ACC-0009,,accessory,piece,0.0,,10000,1,2025-07-05 12:48:51.565716,1,,,,A,
10,زرار اسود,BTN-0001,,button,piece,0.0,,10000,1,2025-07-05 12:50:54.751984,1,,,,A,
11,زرار رجالي,BTN-0002,,button,piece,0.0,,10000,1,2025-07-05 12:52:41.686254,1,,,,A,
12,زرار كحلي هاتريك,BTN-0003,,button,piece,0.0,,10000,1,2025-07-05 12:53:06.033558,1,,,,A,
13,زرار اسود هاتريك,BTN-0004,,button,piece,0.0,,10000,1,2025-07-05 12:54:11.017744,1,,,,A,
14,زرار زيتي هاتريك,BTN-0005,,button,piece,0.0,,10000,1,2025-07-05 12:54:34.719447,1,,,,A,
15,بييه أبيض,THR-0001,,thread,piece,0.0,,10,1,2025-07-05 12:55:08.649326,1,,,,A,
16,بييه أسود,THR-0002,,thread,piece,0.0,,10,1,2025-07-05 12:55:35.968010,1,,,,A,
17,خيط اسود وسط,THR-0003,,thread,piece,0.0,,200,1,2025-07-05 12:56:52.450751,1,,,,A,
18,خيط اسود خفيف,THR-0004,,thread,piece,0.0,,200,1,2025-07-05 12:57:11.251809,1,,,,A,
19,خيط اسود بارز,THR-0005,,thread,piece,0.0,,200,1,2025-07-05 12:57:42.419584,1,,,,A,
