id,movement_type,quantity,reference_number,notes,created_at,created_by_id,stock_item_id
1,adjustment,66.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.186222,1,15
2,adjustment,26.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.253507,1,16
3,adjustment,1650.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.307727,1,21
4,adjustment,2750.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.358769,1,22
5,adjustment,8250.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.412097,1,28
6,adjustment,1100.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.462757,1,23
7,adjustment,9900.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.517999,1,25
8,adjustment,4400.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:08.587707,1,20
9,adjustment,2200.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:09.742745,1,26
10,adjustment,3300.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:09.801344,1,24
11,adjustment,700.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:09.857447,1,19
12,adjustment,379.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:09.910373,1,18
13,adjustment,350.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:09.964261,1,17
14,adjustment,2.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:10.017798,1,29
15,adjustment,600.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:11.030295,1,27
